"Data Source","مؤشرات التنمية العالمية",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"أروبا","ABW","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","23770","24037","24135","24089","23925","23684","23484","23164","22777","22395","22040","21450","20953","20476","19895","19154","18708","18054","17270","16520","15934","15644","15529","15551","15574","15459","15575","15444","15180","15039","15256","15564","16243","17173","18100","18812","19604","20152","20502","20781","21059","21291","21490","21613","21606","21480","21401","21338","21291","21254","21222","20951","20607","20212","19833","19515","19147","18945","18843","18733","",
"أفغانستان","AFG","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","3791401","3892776","3987207","4079606","4176101","4279406","4408352","4537722","4670217","4808162","4952744","5126253","5298647","5465752","5620543","5754598","5905310","6041235","6145529","6193726","6168003","6120203","6018777","5887420","5762960","5679718","5602623","5545197","5553637","5688390","5996165","6412435","6972008","7605925","8199804","8660288","9063141","9356593","9583634","9828706","10160020","10549107","10994236","11464836","11906922","12278045","12685152","13042467","13369664","13700614","14061036","14366485","14673817","14968788","15230627","15443806","15664859","15855184","16017646","16157197","",
"أنغولا","AGO","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","2298276","2366959","2439522","2504084","2547459","2565874","2575121","2565318","2562022","2592515","2669037","2742528","2855319","2991116","3125224","3243456","3384409","3498629","3600282","3712148","3846099","3998006","4171948","4359406","4545140","4721216","4915383","5099945","5277940","5455522","5635397","5838644","6039557","6239211","6437826","6635638","6854777","7072949","7291638","7512794","7738636","7995677","8256395","8525294","8808626","9111254","9459740","9823510","10201776","10590937","10987155","11418718","11849944","12280860","12710366","13136045","13571356","13999863","14421718","14837597","",
"ألبانيا","ALB","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","646025","672912","699944","726429","751660","774509","797288","817709","837976","857640","873672","887046","901357","914016","924477","932982","941877","948326","952165","955738","961426","967751","976735","987108","998122","1009417","1020875","1034400","1047555","1068374","1077154","1074586","1069575","1061867","1052793","1043751","1020696","999590","979684","959258","937016","907894","882748","855353","827057","798071","765255","734104","704868","678030","654121","623783","597500","574857","555294","537791","528734","518036","506571","496617","",
"أندورا","AND","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"العالم العربي","ARB","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","39900284","41339703","42792877","44248946","45685285","47089854","48668380","50184681","51657737","53108292","54542164","56131706","57668212","59201107","60796846","62505742","64409127","66411019","68487235","70588857","72676355","74875309","77043666","79185997","81313159","83427524","85737663","87977466","90161768","92284425","95276980","97242688","98468246","100222449","101768189","103575342","104805790","105886679","106845228","107752382","108631577","109435321","110205565","110994601","111871392","112886668","113979482","115231484","116661771","118267397","120038945","121934515","124007632","126213709","128449757","130629538","133190635","135468682","137609186","139782891","",
"الإمارات العربية المتحدة","ARE","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","41184","43745","47184","51008","54527","57447","59526","61579","64933","71201","81607","90010","100974","115023","132682","154346","175065","199261","227336","257331","286610","316295","344836","373721","404351","437297","465311","492372","518792","544171","567997","587108","606644","625812","643563","660126","684504","709253","739446","775915","816213","789170","765576","759301","782990","841539","876732","936995","1012222","1081358","1124862","1201024","1241612","1262873","1283359","1311987","1346625","1376064","1406458","1437500","",
"الأرجنتين","ARG","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","6359618","6443594","6515684","6578461","6636511","6692682","6757943","6820984","6884882","6953529","7030162","7127578","7235065","7351516","7476083","7608884","7769439","7943479","8126121","8308490","8485077","8694707","8871423","9029441","9189223","9358489","9487610","9646335","9810968","9947653","10041982","10148344","10210467","10243127","10271831","10308661","10347239","10385457","10424414","10461215","10494235","10510965","10540095","10573026","10598086","10609996","10634081","10637331","10630193","10630363","10619665","10654653","10705359","10765954","10824454","10874071","10932227","10978949","11017254","11052913","",
"أرمينيا","ARM","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","724438","772382","817091","857911","894484","926056","951121","969175","980987","988501","993302","989149","986574","984130","979216","970801","965599","956155","945812","939196","938301","942285","951886","965722","981216","996933","1015099","1034479","1052226","1063385","1063002","1052516","1030566","1000935","969669","941309","909816","880379","851847","822649","792295","756841","724426","694520","666405","639824","619110","598493","579993","566592","559946","559194","562687","569812","578629","587452","594870","602343","609052","614201","",
"ساموا الأمريكية","ASM","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"أنتيغوا وبربودا","ATG","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","23267","23716","24166","24657","25205","25810","26373","27023","27707","28300","28660","28131","27503","26874","26342","25937","25227","24613","24131","23775","23491","22911","22383","21937","21577","21268","20714","20168","19715","19395","19250","19322","19482","19743","20092","20482","20692","20940","21229","21533","21811","21808","21779","21726","21664","21594","21631","21646","21622","21551","21426","21454","21391","21286","21190","21122","21181","21215","21261","21322","",
"أستراليا","AUS","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","3101573","3171575","3240425","3282439","3325371","3373205","3437926","3470716","3525226","3591359","3646512","3735708","3768306","3786824","3836172","3825230","3822003","3797908","3762559","3729878","3717172","3698624","3710773","3722821","3725293","3722489","3749364","3750096","3745514","3752667","3769581","3782297","3811058","3841441","3871722","3898194","3932924","3951986","3963018","3978969","3999611","4010103","4015963","4022831","4027287","4041179","4054781","4040682","4092069","4152405","4193157","4252616","4316146","4375969","4432970","4498208","4584735","4690354","4794332","4889083","",
"النمسا","AUT","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1566864","1591647","1615511","1640796","1669908","1702165","1734910","1770419","1801100","1822857","1835769","1840231","1838054","1826900","1802605","1766122","1723301","1683462","1640041","1593504","1549231","1511937","1473669","1434631","1400817","1370721","1350296","1327219","1306500","1296431","1299884","1314644","1342729","1374321","1397371","1408227","1408301","1397122","1378290","1360628","1348118","1335267","1329418","1326404","1322536","1314129","1303282","1285491","1265159","1246028","1230814","1218637","1211102","1208730","1211372","1220347","1238043","1251975","1264013","1274912","",
"أذربيجان","AZE","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1539915","1641352","1747738","1852902","1948593","2029476","2108567","2167099","2209296","2242329","2269673","2284475","2296300","2301984","2296943","2280265","2261604","2233869","2201125","2170352","2146218","2132289","2127156","2131158","2143690","2164440","2205401","2253213","2304369","2355532","2376970","2433109","2482334","2526352","2560824","2583156","2588333","2583913","2569472","2543307","2506956","2447675","2386791","2324231","2261750","2201139","2157436","2112775","2091700","2080991","2067587","2073578","2095964","2130775","2169867","2207180","2257698","2294774","2322882","2349658","",
